epoch,total_epochs,train_loss,val_loss,train_time_s,val_time_s,best_saved,best_val_loss,earlystop_counter,earlystop_patience,early_stop_triggered
1,40,0.248759,0.323434,24.5,8.7,1,0.3234,,,0
2,40,0.171216,0.280456,23.9,8.6,1,0.2805,,,0
3,40,0.153599,0.258833,23.8,8.7,1,0.2588,,,0
4,40,0.147556,0.251508,23.9,8.7,1,0.2515,,,0
5,40,0.141481,0.239382,24.0,8.6,1,0.2394,,,0
6,40,0.137854,0.239344,24.0,8.6,1,0.2393,,,0
7,40,0.133984,0.231938,24.0,8.5,1,0.2319,,,0
8,40,0.133719,0.230062,24.0,8.6,1,0.2301,,,0
9,40,0.132288,0.229838,24.0,8.6,1,0.2298,,,0
10,40,0.129187,0.219418,23.9,8.7,1,0.2194,,,0
11,40,0.128754,0.22974,24.1,8.6,0,,1,7,0
12,40,0.132103,0.239095,23.9,8.6,0,,2,7,0
13,40,0.128592,0.219616,23.9,8.7,0,,3,7,0
14,40,0.125714,0.211079,24.0,8.5,1,0.2111,,,0
15,40,0.1255,0.203986,23.9,8.7,1,0.2040,,,0
16,40,0.12389,0.200924,23.8,8.5,1,0.2009,,,0
17,40,0.123023,0.203011,23.9,8.7,0,,1,7,0
18,40,0.124035,0.213,24.0,8.6,0,,2,7,0
19,40,0.125632,0.20234,24.0,8.6,0,,3,7,0
20,40,0.122908,0.203456,23.9,8.5,0,,4,7,0
21,40,0.118294,0.190993,23.9,8.5,1,0.1910,,,0
22,40,0.11886,0.195785,23.9,8.5,0,,1,7,0
23,40,0.116956,0.192901,24.1,8.7,0,,2,7,0
24,40,0.116154,0.189905,23.9,8.6,1,0.1899,,,0
25,40,0.115803,0.190398,23.8,8.6,0,,1,7,0
26,40,0.115938,0.188848,23.9,8.5,1,0.1888,,,0
27,40,0.115446,0.191428,23.8,8.6,0,,1,7,0
28,40,0.114693,0.190506,23.8,8.7,0,,2,7,0
29,40,0.114122,0.189828,23.8,8.6,0,,3,7,0
30,40,0.113898,0.190361,23.9,8.5,0,,4,7,0
31,40,0.111649,0.187254,24.0,8.6,1,0.1873,,,0
32,40,0.110834,0.186092,23.9,8.6,1,0.1861,,,0
33,40,0.110565,0.187483,23.9,8.7,0,,1,7,0
34,40,0.110221,0.189033,23.8,8.6,0,,2,7,0
35,40,0.109679,0.187191,24.0,8.5,0,,3,7,0
36,40,0.109712,0.187422,24.1,8.5,0,,4,7,0
37,40,0.107887,0.184975,24.0,8.6,1,0.1850,,,0
38,40,0.107616,0.186583,24.0,8.6,0,,1,7,0
39,40,0.107456,0.18659,24.0,8.9,0,,2,7,0
40,40,0.107112,0.184413,23.9,8.6,1,0.1844,,,0
