epoch,total_epochs,train_loss,val_loss,train_time_s,val_time_s,best_saved,best_val_loss,earlystop_counter,earlystop_patience,early_stop_triggered
1,40,0.150285,0.180155,127.8,21.8,1,0.1802,,,0
2,40,0.115337,0.15611,127.9,21.2,1,0.1561,,,0
3,40,0.110923,0.151787,127.7,21.1,1,0.1518,,,0
4,40,0.106705,0.149884,127.3,21.2,1,0.1499,,,0
5,40,0.104597,0.130233,128.0,21.2,1,0.1302,,,0
6,40,0.102055,0.132382,127.2,20.9,0,,1,7,0
7,40,0.101588,0.12435,127.6,20.9,1,0.1244,,,0
8,40,0.100203,0.126706,127.4,20.8,0,,1,7,0
9,40,0.098796,0.122744,127.8,21.0,1,0.1227,,,0
10,40,0.098498,0.126986,127.8,21.0,0,,1,7,0
11,40,0.097834,0.114891,128.2,21.0,1,0.1149,,,0
12,40,0.097114,0.120415,128.2,21.1,0,,1,7,0
13,40,0.095903,0.125489,127.9,21.0,0,,2,7,0
14,40,0.097335,0.116469,127.2,20.8,0,,3,7,0
15,40,0.096353,0.119504,127.2,20.9,0,,4,7,0
16,40,0.090784,0.111759,126.7,20.7,1,0.1118,,,0
17,40,0.089791,0.10843,126.8,20.8,1,0.1084,,,0
18,40,0.088935,0.11088,127.5,20.9,0,,1,7,0
19,40,0.088957,0.111782,127.7,20.9,0,,2,7,0
20,40,0.088235,0.108485,127.8,20.8,0,,3,7,0
21,40,0.087822,0.109882,127.9,21.1,0,,4,7,0
22,40,0.085569,0.108519,128.1,21.0,0,,5,7,0
23,40,0.084925,0.10736,131.0,21.9,1,0.1074,,,0
24,40,0.08458,0.10923,131.4,22.1,0,,1,7,0
25,40,0.084267,0.107862,129.7,22.3,0,,2,7,0
26,40,0.083996,0.107394,132.6,21.8,0,,3,7,0
27,40,0.083695,0.107837,130.7,22.0,0,,4,7,0
28,40,0.082557,0.108422,130.6,21.7,0,,5,7,0
29,40,0.082192,0.108155,130.8,22.0,0,,6,7,0
30,40,0.082006,0.10694,131.3,22.4,1,0.1069,,,0
31,40,0.081829,0.108742,134.3,22.3,0,,1,7,0
32,40,0.081507,0.108685,131.6,21.6,0,,2,7,0
33,40,0.081451,0.107582,128.8,21.6,0,,3,7,0
34,40,0.081305,0.107731,128.7,21.4,0,,4,7,0
35,40,0.080599,0.108382,128.9,21.5,0,,5,7,0
36,40,0.080377,0.108489,129.3,21.7,0,,6,7,0
37,40,0.080376,0.109151,129.0,21.6,0,,7,7,1
